Date,MAU,Event,Event_type,Point,Effect %,Effect_type
1/26/2025,31348,,,,,
1/27/2025,68277,,,,,
1/28/2025,91351,,,,,
1/29/2025,104845,,,,,
1/30/2025,110345,,,,,
1/31/2025,110345,,,,,
2/1/2025,134058,,,,,
2/2/2025,141364,Create a meme about 100 Million $FAM & Post it on X to get 100 TON for 10 winners.,Event,141364,59%,P
2/3/2025,149437,,,,,
2/4/2025,154161,,,,,
2/5/2025,159019,,,,,
2/6/2025,159019,,,,,
2/7/2025,162805,,,,,
2/8/2025,212614,game updates and started Massive Marketing Campaign.,Event,212614,49%,P
2/9/2025,227542,,,,,
2/10/2025,227542,,,,,
2/11/2025,232996,,,,,
2/12/2025,233564,,,,,
2/13/2025,233564,,,,,
2/14/2025,234770,,,,,
2/15/2025,235287,,,,,
2/16/2025,235287,,,,,
2/17/2025,236121,,,,,
2/18/2025,237189,,,,,
2/19/2025,237850,,,,,
2/20/2025,238511,,,,,
2/21/2025,239050,,,,,
2/22/2025,239982,,,,,
2/23/2025,242175,Create a meme about 100 Million $FAM & Post it on X to get 100 TON for 10 winners.,Event,242175,1%,P
2/24/2025,242175,,,,,
2/25/2025,235594,,,,,
2/26/2025,229153,,,,,
2/27/2025,228178,,,,,
2/28/2025,228178,,,,,
3/1/2025,197999,,,,,
3/2/2025,187107,,,,,
3/3/2025,187107,"Invite friends to get 1,000 USDT + 500,000 $FAM for top 10 winners.",Event,187107,64%,P
3/4/2025,178041,Create a meme about 100 Million $FAM & Post it on X to get 100 TON for 10 winners but this week with 25k $FAM and 10 NFT.,Event,178041,107%,P
3/5/2025,166414,,,,,
3/6/2025,164672,,,,,
3/7/2025,175527,,,,,
3/8/2025,306048,,,,,
3/9/2025,366571,,,,,
3/10/2025,376782,,,,,
3/11/2025,387900,,,,,
3/12/2025,428941,Change to 200 $FAM by referral and 500 for premium frens.,,428941,78%,P
3/13/2025,523511,,,,,
3/14/2025,567435,,,,,
3/15/2025,695111,,,,,
3/16/2025,691859,Comment on their post on X to win 1 TON for 100 winner.,Event,691859,61%,P
3/17/2025,691859,,,,,
3/18/2025,755519,,,,,
3/19/2025,775743,"Invite friends challenge for 0.003 TON per invite, top 100 inviters share 10k TON.",Event,775743,10%,P
3/20/2025,795568,,,,,
3/21/2025,818397,,,,,
3/22/2025,832351,,,,,
